date, pm25, pm10, o3, no2, so2, co
2024-05-01,69,40,56,13,3,4
2024-05-02,75,47,74,18,4,4
2024-05-03,79,35,55,16,4,4
2024-05-04,69,35,36,3,5,3
2024-05-05,61,24,56,9,3,3
2024-05-06,53,33,46,15,2,4
2024-05-07,71,22,42,12,3,3
2024-05-08,49,27,47,13,3,4
2024-05-09,54,34,59,16,3,3
2024-05-10,59,24,42,10,3,3
2024-05-11,51,81,48,9,3,3
2024-05-12,85,39,58,14,3,3
2024-05-13,60,35,63,18,3,4
2024-05-14,66,30,56,9,3,3
2024-05-15,53,26,61,10,2,3
2024-05-16,44,35,63,11,3,3
2024-05-17,61,26,53,11,3,2
2024-05-18,50,29,54,9,3,3
2024-05-19,56,37,56,15,4,3
2024-05-20,54,45,49,13,3,3
2024-05-21,77,47,63,12,4,3
2024-05-22,85,50,66,15,4,3
2024-05-23,83,56,53,13,4,3
2024-05-24,109,50,45,12,3,3
2024-05-25,90,30,48,8,3,3
2024-05-26,54,39,51,10,3,4
2024-05-27,66,27,46,12,3,3
2024-05-28,54,29,62,13,3,3
2024-05-29,57,34,53,17,3,3
2024-05-30,59,33,57,11,3,3
2024-05-31,60,31,52,10,3,3
2024-04-01,63,47,52,27,6,6
2024-04-02,73,19,33,21,4,6
2024-04-03,50,39,30,20,4,6
2024-04-04,74,39,48,19,4,5
2024-04-05,72,50,48,19,4,4
2024-04-06,84,52,68,18,5,5
2024-04-07,89,56,56,27,4,5
2024-04-08,92,63,69,22,4,5
2024-04-09,111,53,54,14,3,4
2024-04-10,94,46,54,15,4,3
2024-04-11,71,43,48,15,4,3
2024-04-12,74,46,62,16,4,3
2024-04-13,73,36,56,11,6,4
2024-04-14,64,26,44,12,4,3
2024-04-15,51,45,49,12,3,3
2024-04-16,79,108,43,14,3,4
2024-04-17,108,95,58,20,4,4
2024-04-18,116,56,61,20,4,4
2024-04-19,73,45,38,16,3,4
2024-04-20,76,21,30,12,3,3
2024-04-21,50,27,34,13,3,3
2024-04-22,55,36,47,14,3,3
2024-04-23,66,32,46,11,3,4
2024-04-24,65,33,53,14,3,4
2024-04-25,57,41,58,22,3,3
2024-04-26,68,38,66,18,3,4
2024-04-27,67,34,67,16,3,4
2024-04-28,65,31,39,13,3,4
2024-04-29,66,43,45,13,3,4
2024-04-30,81,34,42,12,3,3
2024-01-01,78,38,28,20,4,7
2024-01-02,74,46,29,18,4,6
2024-01-03,95,47,31,21,4,7
2024-01-04,95,61,30,25,4,9
2024-01-05,122,51,29,17,4,7
2024-01-06,101,29,25,10,5,6
2024-01-07,59,27,23,20,4,6
2024-01-08,52,25,24,19,4,6
2024-01-09,55,63,21,24,4,8
2024-01-10,136,55,30,24,4,7
2024-01-11,122,56,32,24,5,8
2024-01-12,101,41,27,25,5,7
2024-01-13,71,34,38,17,4,6
2024-01-14,56,32,27,14,5,6
2024-01-15,63,34,21,25,5,6
2024-01-16,64,30,31,27,5,7
2024-01-17,58,27,27,26,5,7
2024-01-18,62,29,27,21,5,6
2024-01-19,65,15,30,14,4,5
2024-01-20,36,19,26,14,4,6
2024-01-21,46,25,30,9,4,6
2024-01-22,52,25,28,9,5,6
2024-01-23,52,26,29,13,5,7
2024-01-24,52,28,29,18,5,7
2024-01-25,60,37,31,24,5,7
2024-01-26,75,49,37,25,5,8
2024-01-27,90,43,35,20,5,7
2024-01-28,80,45,39,25,4,7
2024-01-29,80,57,24,31,5,9
2024-01-30,108,50,29,29,5,8
2024-01-31,92,71,30,23,5,9
2024-02-01,138,64,31,17,5,7
2024-02-02,112,43,20,24,4,5
2024-02-03,89,20,30,15,4,4
2024-02-04,45,5,30,14,3,3
2024-02-05,15,19,27,15,3,4
2024-02-06,41,39,38,16,4,5
2024-02-07,71,47,37,27,4,6
2024-02-08,97,37,39,19,3,5
2024-02-09,75,48,49,16,3,6
2024-02-10,99,59,44,18,3,6
2024-02-11,127,57,39,19,3,6
2024-02-12,122,47,41,21,3,5
2024-02-13,88,33,40,20,4,4
2024-02-14,54,26,30,21,3,5
2024-02-15,63,41,29,20,3,5
2024-02-16,72,41,36,24,3,5
2024-02-17,73,27,32,16,3,5
2024-02-18,58,19,30,17,4,5
2024-02-19,43,38,26,19,3,5
2024-02-20,79,11,26,16,2,4
2024-02-21,32,10,27,12,3,3
2024-02-22,28,14,28,11,3,4
2024-02-23,21,19,32,9,3,3
2024-02-24,32,20,25,10,2,4
2024-02-25,55,39,33,18,3,5
2024-02-26,80,31,37,20,3,5
2024-02-27,66,30,38,14,3,4
2024-02-28,56,42,32,19,3,5
2024-02-29,73,44,35,9,4,4
2024-03-01,67,31,37,11,3,3
2024-03-02,53,60,47,15,3,5
2024-03-03,108,74,51,25,4,7
2024-03-04,141,24,37,20,3,4
2024-03-05,60,32,38,20,3,5
2024-03-06,62,42,43,14,3,4
2024-03-07,77,52,39,17,4,5
2024-03-08,85,37,37,17,4,4
2024-03-09,68,36,44,15,4,4
2024-03-10,73,37,38,22,3,4
2024-03-11,64,36,38,21,3,5
2024-03-12,67,42,48,16,3,5
2024-03-13,77,48,55,19,4,5
2024-03-14,84,44,49,21,4,5
2024-03-15,65,42,47,23,4,5
2024-03-16,71,74,39,12,4,5
2024-03-17,86,40,38,16,5,5
2024-03-18,64,38,45,15,3,5
2024-03-19,77,40,37,15,4,4
2024-03-20,80,36,43,19,4,4
2024-03-21,72,41,50,14,3,5
2024-03-22,62,59,53,17,5,6
2024-03-23,91,48,43,15,5,6
2024-03-24,92,26,35,16,4,5
2024-03-25,55,15,36,11,3,4
2024-03-26,37,35,36,15,4,5
2024-03-27,71,29,23,20,3,5
2024-03-28,62,80,45,14,3,5
2024-03-29,102,74,53,18,4,6
2024-03-30,83,64,41,14,5,6
2024-03-31,65,51,48,23,6,6
2023-10-01,51,23,44,12,2,4
2023-10-02,45,24,28,12,2,3
2023-10-03,47,25,50,12,2,3
2023-10-04,49,44,36,14,3,4
2023-10-05,64,33,34,19,4,4
2023-10-06,62,35,42,19,3,4
2023-10-07,72,26,33,10,2,3
2023-10-08,63,23,35,12,3,3
2023-10-09,56,35,48,15,2,4
2023-10-10,71,31,42,16,3,4
2023-10-11,71,29,39,16,3,4
2023-10-12,59,41,41,19,3,4
2023-10-13,59,34,52,14,2,4
2023-10-14,75,29,54,12,2,5
2023-10-15,61,45,37,12,3,4
2023-10-16,68,33,43,15,3,4
2023-10-17,66,32,38,17,2,4
2023-10-18,69,31,49,13,2,4
2023-10-19,74,19,29,10,2,4
2023-10-20,54,24,30,14,2,4
2023-10-21,59,27,34,11,3,4
2023-10-22,58,33,50,9,2,4
2023-10-23,70,34,52,17,2,5
2023-10-24,76,38,46,17,3,4
2023-10-25,83,50,71,16,2,5
